,title,subtitle,link
49,, Man Utd set Greenwood price tag as LaLiga pair prepare for transfer battle,https://www.thesun.co.uk/sport/26044238/man-utd-mason-greenwood-transfer-barcelona-atletico/
50,, Arsenal 'battle Spurs and Liverpool' for Juventus midfielder Rabiot,https://www.thesun.co.uk/sport/25954703/arsenal-transfer-news-live-neto-mbappe-martinelli-updates/
51,," Ratcliffe leaves door open for Greenwood return, Shaw injury blow",https://www.thesun.co.uk/sport/25976558/man-utd-transfer-news-live-jim-ratcliffe-takeover-greenwood-shaw-injury/
52,LIFE CHANGER, Lockyer shows defibrillator fitted in chest after star suffered cardiac arrest,https://www.thesun.co.uk/sport/26065920/tom-lockyer-defibrillator-luton-town-cardiac-arrest/
53,ACE'S HELL, Ex-Chelsea star reveals he contemplated suicide three years after winning Prem ,https://www.thesun.co.uk/sport/26088410/chelsea-lenny-pidgeley-anxiety-panic-attacks-suicidal/
54,BOSS BID, Giggs eyes management return two years after quitting Wales over assault charges,https://www.thesun.co.uk/sport/26082074/ryan-giggs-managerial-return-plan-wales-man-utd/
55,NORR WOE, Norrington-Davies out for season after injury at Luton with Euro 2024 at risk,https://www.thesun.co.uk/sport/26068216/rhys-norrington-davies-sheffield-united-injury/
56,CASE CLOSED, Best online casinos as rated by the real expert for UK players right NOW,https://www.thesun.co.uk/betting/20803800/best-online-casinos-uk/
57,, Manchester United stars among most in-form Dream Team assets in EVERY position,https://www.thesun.co.uk/sport/football/dream-team/26059647/manchester-united-form-dalot-hojlund-garnacho-onana-fantasy/
58,, Assist king Pedro Neto a tempting punt for Dream Team gaffers ahead of GW25,https://www.thesun.co.uk/sport/football/dream-team/26053662/assists-pedro-neto-fantasy-football-stats-wolves-transfer/
59,, Transfer time? Jarrod Bowen's form cause for concern among Dream Team managers,https://www.thesun.co.uk/sport/football/dream-team/25911804/jarrod-bowen-west-ham-form-fantasy-football-transfer/
60,," Whether he’s ‘Kobbie Charlton’ or ‘Kobbie Stiles’, Mainoo deserves an England cap",https://www.thesun.co.uk/sport/26047188/dave-kidd-kobbie-mainoo-england-debut-brazil/
61,, Alonso is ideal fit to fill Klopp's shoes - success is impossible to predict,https://www.thesun.co.uk/sport/25998935/karren-brady-xabi-alonso-jurgen-klopp-liverpool/
62,," 'Careful what you wish for', warns Troy Deeney as West Ham face Moyes decision",https://www.thesun.co.uk/sport/25995855/west-ham-news-david-moyes-sacking/
63,SHEET & TIDY, Daughter of ex-Prem star goes totally naked with just sheet to hide modesty,https://www.thesun.co.uk/sport/26081164/jade-leboeuf-naked-chelsea-frank-daughter/
64,WANDA-FUL, Wanda Nara strips to her underwear and shows off her bum in cheeky selfie,https://www.thesun.co.uk/sport/26009507/wanda-nara-strips-underwear-bum-mauro-icardi-wife/
65,LETT IT BE, Prem Wag Diletta Leotta shows off toned midriff as fans call her 'marvellous',https://www.thesun.co.uk/sport/26027343/diletta-leotta-presenter-italy-outfit-tv/
